experiment,data,model,lr,version,target,dev_det_precision,dev_det_recall,dev_det_f1,dev_det_auc,det_threshold,test_det_precision,test_det_recall,test_det_f1,test_det_auc,dev_phase_precision,dev_phase_recall,dev_phase_f1,phase_threshold,dev_phase_mcc,phase_threshold_mcc,test_phase_precision,test_phase_recall,test_phase_f1,test_phase_mcc,dev_P_mean_s,dev_P_std_s,dev_P_mae_s,dev_S_mean_s,dev_S_std_s,dev_S_mae_s,test_P_mean_s,test_P_std_s,test_P_mae_s,test_S_mean_s,test_S_std_s,test_S_mae_s
geofon_eqtransformer_stead,geofon,eqtransformer,0.001,1,stead,0.8300531391458374,0.9826039684696929,0.8999093155994949,0.7375231343741672,0.19145574,0.8297522284703975,0.9838213457301745,0.9002424446950792,0.7427258628379683,0.40727377507172297,1.0,0.5788124276684767,0.11054883,0.0,5.095737000000001e+31,0.4088288029387694,1.0,0.5803810968173937,0.0,0.048282216401611816,3.562567779668869,2.4681211047709866,-1.8534714665835306,4.114524896231753,3.2741545222142374,0.08924424902200488,3.564965281333247,2.469391565311736,-1.8665485732507636,4.119613017183523,3.279053964206833
geofon_eqtransformer_stead,geofon,eqtransformer,0.001,6,stead,0.858340942139258,0.9855939113889643,0.9175764586797773,0.6448298006423159,0.28807384,0.8607037750091173,0.9849180391509846,0.9186309653124773,0.6546597664514844,0.6579493670886076,0.7994401550339906,0.7218264383618715,0.6938907,0.509214999615471,1.1289927,0.657981238463678,0.7953086797066015,0.7201566370089527,0.5055483032358978,-1.3819478737272755,3.4975800976788145,2.1159265411732138,0.04686734809350692,2.3464066319940917,1.3123912171330743,-1.38851873997555,3.515566803832004,2.1318663650366747,0.05148486329483129,2.3654783744458654,1.3252483577097447
geofon_eqtransformer-ft_stead,geofon,eqtransformer-ft,0.001,0,stead,0.863374415639609,0.9860598765192404,0.9206478686860446,0.6880589350701986,0.27882677,0.864839544866117,0.9855294699962149,0.9212485200927182,0.6980740177132647,0.6555451235430168,0.8805869143929373,0.7515818215232744,0.7856834,0.5544175959040911,0.74187535,0.6551657408250615,0.879507946210269,0.7509394081728511,0.5527886735576705,-2.352688899289428,4.185706354804334,2.831545350302993,-0.2661168842365573,1.8689042833820004,0.9994602528111262,-2.3555153781173597,4.181461487836626,2.8255228754889976,-0.2681529779132806,1.88363899712699,1.0076028126116225
geofon_seismoe_stead,geofon,seismoe,0.001,2,stead,0.9917267508166934,0.9960975420339377,0.9939073412179505,0.9980149646656139,0.021041496,0.9908793467875032,0.996399351689199,0.9936316828616778,0.9980239392590162,0.9304964539007092,0.9887723399673937,0.9587496644495481,3.3162096,0.9286171788437285,3.8594213,0.9301502331203592,0.9877444987775061,0.9580825897489106,0.9274680278591361,0.008608587560367878,0.3098951322498991,0.10473867510535544,0.051243193544978,0.2857264473027692,0.15234886660889416,0.011487983740831277,0.334670954121029,0.10648362261613692,0.04927989008422542,0.2866694292706978,0.1527621776976973
geofon_seismoe-test_stead,geofon,seismoe-test,0.001,1,stead,0.9888618169161155,0.9928552013357667,0.9908544855648129,0.9972462505030136,0.013244292,0.9880392705789225,0.9933324922115356,0.9906788109918403,0.9971896719035149,0.8971836906263135,0.9848349687778769,0.9389682376748688,3.664653,0.896055734423193,3.463711,0.8966723335470026,0.9832976772616137,0.9379892421393274,0.8945430172139507,-0.0010093643913993268,0.397649490326824,0.11998531043710974,0.051201766422894805,0.2820277760431074,0.15327653586827866,-0.0009530309290953764,0.41284713144063273,0.12128192772004891,0.04865480422078263,0.28897982098296043,0.15406433310788675
geofon_seismoe-trial_stead,geofon,seismoe-trial,0.001,0,stead,0.9934698781173097,0.9954180095522852,0.9944429897297141,0.9981115509426531,0.03344871,0.9926750914404041,0.9956520473228063,0.9941613408081091,0.9982138376901806,0.9564677352575857,0.9948629610261773,0.975287607617267,3.1727324,0.9544313202077717,2.1673045,0.9548736462093863,0.9943001222493888,0.9741881391205401,0.9524539336494031,-0.00967342665108126,0.3149364718840906,0.1074260504783291,0.08677667342323299,0.2892180662062245,0.15900812193523842,-0.008750249755501243,0.3253275116870989,0.10784474883863081,0.08330770455578217,0.29257591510212366,0.15929271139315418
stead_eqtransformer_geofon,stead,eqtransformer,0.001,1,geofon,0.5001084089184403,0.9997832761423153,0.6667148414447617,0.5908272141342809,2.1813457e-06,0.5001043805017222,0.9997913261224916,0.6667130515451962,0.602885064664973,0.9945866141732284,0.9971453744493393,0.9958643507030605,0.0103788655,0.8062600657361383,0.0065294323,0.9971945417003322,0.9959093099622311,0.9965515114472998,0.7818272638511311,0.4254794197709227,3.4462025045081806,2.4293157760000152,0.06172038383838432,1.492230341553678,0.8481447647907647,0.35235580084503526,3.3825207618741673,2.3570641455837356,0.1582960089955025,1.3142370245820578,0.7040830734632684
stead_seismoe_geofon,stead,seismoe,0.001,3,geofon,0.5001355331875599,0.999674914213473,0.6667148466671485,0.5770382493756296,1.7532628e-06,0.5001653180196641,0.9996174312245679,0.6667285253659329,0.5912500543137156,0.9934782608695653,0.9985550660792951,0.996010194217418,0.0006689319,0.8078539733172561,0.0013540504,0.9964166134757729,0.9972429869882434,0.9968296289657644,0.7683842170253001,0.5281166003876627,3.8489446954338904,2.858741183083689,0.13874780086580132,1.569456790932013,0.8481605021645025,0.39618076414089864,3.7721093551674336,2.763135676958768,0.170732290854573,1.316672392235993,0.698138004497751
stead_seismoe-test_geofon,stead,seismoe-test,0.001,0,geofon,0.5000270919500786,1.0,0.6666907479651303,0.5872483906956554,5.2400384e-07,0.5000492773619799,0.9999536280272203,0.6667001607717041,0.5982680590422143,0.9941019519730375,0.997920704845815,0.9960076680912432,0.009364794,0.8206052339661983,0.01003312,0.9969619515257505,0.996682618489919,0.9968222654389141,0.7831159105497034,0.5364552788017597,3.476861699448262,2.4613037003700597,0.09903640115440161,1.4034249487383144,0.8142002914862916,0.4641130043820813,3.3965642814490935,2.3707067776345725,0.17497516941529262,1.285676852042049,0.695674776611694
